NODE ID;COORDS;ELEMENTS;
5;0;0;10;20;114;
6;0;2.5;10;20;23;24;
7;0;5;10;24;27;28;
8;0;7.5;10;28;31;32;
9;0;10;10;32;34;
10;0;0;7.5;20;23;40;114;117;134;
11;0;2.5;7.5;23;24;27;40;43;44;
12;0;5;7.5;27;28;31;44;47;48;
13;0;7.5;7.5;31;32;34;48;51;52;
14;0;10;7.5;34;52;54;
15;0;0;5;40;43;60;134;137;154;
16;0;2.5;5;43;44;47;60;63;64;
17;0;5;5;47;48;51;64;67;68;
18;0;7.5;5;51;52;54;68;71;72;
19;0;10;5;54;72;74;
20;0;0;2.5;60;63;80;154;157;174;
21;0;2.5;2.5;63;64;67;80;83;84;
22;0;5;2.5;67;68;71;84;87;88;
23;0;7.5;2.5;71;72;74;88;91;92;
24;0;10;2.5;74;92;94;
25;0;0;0;80;83;174;177;268;271;
26;0;2.5;0;83;84;87;271;272;275;
27;0;5;0;87;88;91;275;276;279;
28;0;7.5;0;91;92;94;279;280;282;
29;0;10;0;94;282;
35;2.5;0;10;114;117;118;
36;5;0;10;118;121;122;
37;7.5;0;10;122;125;126;
38;10;0;10;126;128;
40;2.5;0;7.5;117;118;121;134;137;138;
41;5;0;7.5;121;122;125;138;141;142;
42;7.5;0;7.5;125;126;128;142;145;146;
43;10;0;7.5;128;146;148;
45;2.5;0;5;137;138;141;154;157;158;
46;5;0;5;141;142;145;158;161;162;
47;7.5;0;5;145;146;148;162;165;166;
48;10;0;5;148;166;168;
50;2.5;0;2.5;157;158;161;174;177;178;
51;5;0;2.5;161;162;165;178;181;182;
52;7.5;0;2.5;165;166;168;182;185;186;
53;10;0;2.5;168;186;188;
55;2.5;0;0;177;178;181;248;251;268;
56;5;0;0;181;182;185;228;231;248;
57;7.5;0;0;185;186;188;208;211;228;
58;10;0;0;188;208;
64;10;2.5;0;208;211;212;
65;10;5;0;212;215;216;
66;10;7.5;0;216;219;220;
67;10;10;0;220;222;
69;7.5;2.5;0;211;212;215;228;231;232;
70;7.5;5;0;215;216;219;232;235;236;
71;7.5;7.5;0;219;220;222;236;239;240;
72;7.5;10;0;222;240;242;
74;5;2.5;0;231;232;235;248;251;252;
75;5;5;0;235;236;239;252;255;256;
76;5;7.5;0;239;240;242;256;259;260;
77;5;10;0;242;260;262;
79;2.5;2.5;0;251;252;255;268;271;272;
80;2.5;5;0;255;256;259;272;275;276;
81;2.5;7.5;0;259;260;262;276;279;280;
82;2.5;10;0;262;280;282;

ELEMENT ID;NEIGHBOUR REFERENCES;;;;NODE REFERENCES;;;
20;-1;23;114;10;5;6;
23;20;24;40;11;10;6;
24;-1;27;23;11;6;7;
27;24;28;44;12;11;7;
28;-1;31;27;12;7;8;
31;28;32;48;13;12;8;
32;-1;34;31;13;8;9;
34;32;-1;52;14;13;9;
40;23;43;134;15;10;11;
43;40;44;60;16;15;11;
44;27;47;43;16;11;12;
47;44;48;64;17;16;12;
48;31;51;47;17;12;13;
51;48;52;68;18;17;13;
52;34;54;51;18;13;14;
54;52;-1;72;19;18;14;
60;43;63;154;20;15;16;
63;60;64;80;21;20;16;
64;47;67;63;21;16;17;
67;64;68;84;22;21;17;
68;51;71;67;22;17;18;
71;68;72;88;23;22;18;
72;54;74;71;23;18;19;
74;72;-1;92;24;23;19;
80;63;83;174;25;20;21;
83;80;84;271;26;25;21;
84;67;87;83;26;21;22;
87;84;88;275;27;26;22;
88;71;91;87;27;22;23;
91;88;92;279;28;27;23;
92;74;94;91;28;23;24;
94;92;-1;282;29;28;24;
114;-1;117;20;10;5;35;
117;114;118;134;40;10;35;
118;-1;121;117;40;35;36;
121;118;122;138;41;40;36;
122;-1;125;121;41;36;37;
125;122;126;142;42;41;37;
126;-1;128;125;42;37;38;
128;126;-1;146;43;42;38;
134;117;137;40;15;10;40;
137;134;138;154;45;15;40;
138;121;141;137;45;40;41;
141;138;142;158;46;45;41;
142;125;145;141;46;41;42;
145;142;146;162;47;46;42;
146;128;148;145;47;42;43;
148;146;-1;166;48;47;43;
154;137;157;60;20;15;45;
157;154;158;174;50;20;45;
158;141;161;157;50;45;46;
161;158;162;178;51;50;46;
162;145;165;161;51;46;47;
165;162;166;182;52;51;47;
166;148;168;165;52;47;48;
168;166;-1;186;53;52;48;
174;157;177;80;25;20;50;
177;174;178;268;55;25;50;
178;161;181;177;55;50;51;
181;178;182;248;56;55;51;
182;165;185;181;56;51;52;
185;182;186;228;57;56;52;
186;168;188;185;57;52;53;
188;186;-1;208;58;57;53;
208;-1;211;188;57;58;64;
211;208;212;228;69;57;64;
212;-1;215;211;69;64;65;
215;212;216;232;70;69;65;
216;-1;219;215;70;65;66;
219;216;220;236;71;70;66;
220;-1;222;219;71;66;67;
222;220;-1;240;72;71;67;
228;211;231;185;56;57;69;
231;228;232;248;74;56;69;
232;215;235;231;74;69;70;
235;232;236;252;75;74;70;
236;219;239;235;75;70;71;
239;236;240;256;76;75;71;
240;222;242;239;76;71;72;
242;240;-1;260;77;76;72;
248;231;251;181;55;56;74;
251;248;252;268;79;55;74;
252;235;255;251;79;74;75;
255;252;256;272;80;79;75;
256;239;259;255;80;75;76;
259;256;260;276;81;80;76;
260;242;262;259;81;76;77;
262;260;-1;280;82;81;77;
268;251;271;177;25;55;79;
271;268;272;83;26;25;79;
272;255;275;271;26;79;80;
275;272;276;87;27;26;80;
276;259;279;275;27;80;81;
279;276;280;91;28;27;81;
280;262;282;279;28;81;82;
282;280;-1;94;29;28;82;

